,business_id,id,rating,time_created
0,jIeZ7gR0zZVUKUik0cmi3g,qNYZ9UNPMlD4WRhkJ02cQA,5,2021-03-30 13:26:25
1,jIeZ7gR0zZVUKUik0cmi3g,Pz0fyglY43go0muzTAd5xA,4,2021-04-07 12:33:54
2,jIeZ7gR0zZVUKUik0cmi3g,wHolWg5r_xqla44J3It-Ow,1,2020-02-23 09:48:02
3,ej5wRN1VcKbiZxg9sG3Kmg,CzyZAXLv9SXy6w_oS-PCDA,5,2021-08-01 10:56:16
4,ej5wRN1VcKbiZxg9sG3Kmg,p0u08UT3gCZUtDHyv0s_tg,4,2021-07-18 06:14:56
5,ej5wRN1VcKbiZxg9sG3Kmg,Ry-Wno0TqCZIOlTZxRujPA,3,2020-01-23 14:28:26
6,l1xgrid4DrewlurXLKiGyQ,CoyIJLOmQt_rG0czLZKJXA,4,2015-10-26 08:57:53
7,l1xgrid4DrewlurXLKiGyQ,VTV9bpKByATYYt3yA-AADQ,4,2015-05-29 09:31:57
8,l1xgrid4DrewlurXLKiGyQ,7dahzhgP-uU-Gatt5UddjQ,2,2015-09-25 14:05:56
9,WjJxfju2UuQNJte0Vdzpyw,MxUYWzsKalnwcsWoPIlZ1g,3,2021-10-23 16:00:54
10,WjJxfju2UuQNJte0Vdzpyw,1JzpOM_QiXkc_4EUp2syTg,1,2020-08-31 06:25:28
11,WjJxfju2UuQNJte0Vdzpyw,BceHIK3kJ4LjBMMOtSHvgw,1,2019-09-21 19:01:27
12,59CuyNn13F7Sg8klYfz9zA,BWEtUMLyF5LIeq34wg1OFQ,5,2016-04-30 23:48:41
13,59CuyNn13F7Sg8klYfz9zA,pOVtezfbKFWBojUOaa_spA,2,2017-07-29 08:18:04
14,59CuyNn13F7Sg8klYfz9zA,SKhV7XtFvU7yb5yZaDDEbA,5,2015-05-02 13:41:03
15,nyH45z28bR9nmhqlM2Y7fw,wc070XVBAlFMbFm2_nb1YQ,1,2021-04-18 08:54:55
16,nyH45z28bR9nmhqlM2Y7fw,V5uIUbHYhBInbiyplPLYww,5,2020-06-13 06:09:46
17,nyH45z28bR9nmhqlM2Y7fw,p6MFbJSE7_iKEEFnxhyo7A,1,2019-04-13 11:06:15
18,Fo9vRaUX2OTrlUmcWvqdSA,XTVTQ6Z6MhNggVgKT0KZZQ,4,2021-10-02 06:50:08
19,Fo9vRaUX2OTrlUmcWvqdSA,kAsZKIxhLhFq264Qk0aF-Q,2,2019-12-15 16:49:38
20,Yo9NDdsL_X9LquUHtBHBpQ,JZBWbxmz3Q3gPmCZ312wAw,3,2013-05-29 08:40:13
21,Yo9NDdsL_X9LquUHtBHBpQ,p9lhfJsLauGw3-kUIzEhOw,1,2021-07-08 17:13:07
22,Yo9NDdsL_X9LquUHtBHBpQ,y16t7b8DNvfOqSXsxJ-3HQ,1,2021-10-01 20:00:56
23,-qCrGWYePySXmcngRhal4Q,YYzXsSImiyheX6jN-OK4_w,4,2021-11-29 11:01:28
24,-qCrGWYePySXmcngRhal4Q,XB5JCpKdq5HleTJnY2lo9Q,5,2021-10-28 05:33:28
25,-qCrGWYePySXmcngRhal4Q,ZvV-q2m2VZTlujUjL9LBEg,4,2021-10-11 17:51:27
